Variable,Value_Best,Value_Expected,Value_Worst
end_A,4.25,5.0,5.75
end_B,6.8,8.0,9.2
end_C,9.35,11.0,12.65
end_D,0.0,0.0,0.0
end_D1,11.05,13.0,14.95
end_D2,17.85,21.0,24.15
end_D3,17.85,21.0,24.15
end_D4,58.65,69.0,79.35
end_D5,65.45,77.0,88.55
end_D6,72.25,85.0,97.75
end_D7,85.85,101.0,116.15
end_D8,92.65,109.0,125.35
end_E,29.75,35.0,40.25
end_F,102.85,121.0,139.15
end_G,106.25,125.0,143.75
end_H,113.05,133.0,152.95
start_A,0.0,0.0,0.0
start_B,0.0,0.0,0.0
start_C,4.25,5.0,5.75
start_D,0.0,0.0,0.0
start_D1,4.25,5.0,5.75
start_D2,11.05,13.0,14.95
start_D3,11.05,13.0,14.95
start_D4,17.85,21.0,24.15
start_D5,58.65,69.0,79.35
start_D6,58.65,69.0,79.35
start_D7,72.25,85.0,97.75
start_D8,85.85,101.0,116.15
start_E,9.35,11.0,12.65
start_F,92.65,109.0,125.35
start_G,92.65,109.0,125.35
start_H,106.25,125.0,143.75
